"ID","Date","Total Loss"
"636","2011-01-29 00:00:00","0"
"637","2009-03-16 00:00:00","13900"
"638","2016-06-23 00:00:00","0"
"639","2014-06-13 00:00:00","100"
"640","2009-11-14 00:00:00","127000"
"641","2016-03-15 00:00:00","0"
"642","2008-10-24 00:00:00","22500"
"643","2010-02-22 00:00:00","24300"
"644","2014-09-21 00:00:00","40500"
"645","2007-09-22 00:00:00","4110"
"646","2014-12-30 00:00:00","4550"
"647","2009-10-02 00:00:00","0"
"648","2014-05-01 00:00:00","34000"
"649","2016-10-01 00:00:00","1000"
"650","2007-12-31 00:00:00","2505"
"651","2015-04-09 00:00:00","60000"
"652","2009-06-24 00:00:00","550"
"653","2013-10-04 00:00:00","56100"
"654","2012-11-06 00:00:00","13200"
"655","2005-10-09 00:00:00","106200"
"656","2012-02-19 00:00:00","2000"
"657","2013-09-11 00:00:00","15200"
"658","2014-08-09 00:00:00","33100"
"659","2011-04-16 00:00:00","39000"
"660","2008-03-29 00:00:00","76650"
"661","2012-03-13 00:00:00","25000"
"662","2016-10-21 00:00:00","0"
"663","2014-07-17 00:00:00","2850"
"664","2008-03-06 00:00:00","0"
"665","2010-06-11 00:00:00","0"
"666","2015-06-14 00:00:00","58700"
"667","2011-05-09 00:00:00","18000"
"668","2009-02-01 00:00:00","157830"
"669","2016-11-13 00:00:00","58700"
"670","2016-04-18 00:00:00","0"
"671","2015-05-22 00:00:00","41350"
"672","2009-01-09 00:00:00","1200"
"673","2010-07-04 00:00:00","13600"
"674","2009-12-07 00:00:00","139400"
"675","2009-08-06 00:00:00","59000"
"676","2015-12-17 00:00:00","20000"
"677","2015-02-11 00:00:00","41550"
"678","2009-08-29 00:00:00","500"
"679","2008-01-14 00:00:00","20000"
"680","2010-10-12 00:00:00","1000"
"681","2015-03-06 00:00:00","38800"
"682","2010-09-19 00:00:00","7400"
"683","2005-03-14 00:00:00","5400"
"684","2006-05-06 00:00:00","200"
"685","2012-04-11 00:00:00","0"
"686","2006-07-22 00:00:00","0"
"687","2013-06-03 00:00:00","4100"
"688","2005-02-19 00:00:00","4850"
"689","2006-08-14 00:00:00","3000"
"690","2012-05-04 00:00:00","23900"
"691","2013-06-26 00:00:00","0"
"692","2006-04-13 00:00:00","9465"
"693","2013-12-20 00:00:00","128150"
"694","2011-01-06 00:00:00","5"
"695","2015-08-05 00:00:00","3000"
"696","2007-09-02 00:00:00","7000"
"697","2016-06-09 00:00:00","16000"
"698","2011-11-11 00:00:00","4000"
"699","2005-07-01 00:00:00","1500"
"700","2012-10-08 00:00:00","57500"
"701","2009-04-19 00:00:00","2200"
"702","2010-03-17 00:00:00","200"
"703","2010-03-26 00:00:00","86000"
"704","2014-10-25 00:00:00","15200"
"705","2008-06-14 00:00:00","0"
"706","2015-09-22 00:00:00","33750"
"707","2016-07-13 00:00:00","0"
"708","2016-01-09 00:00:00","0"
